n_classes,C,max_iter,seed,n_train,acc,xent,err
10,100.0,10000,5,5,0.3304,inf,0.6696
2,100.0,10000,6,5,0.5935,8.132947591341496,0.4065
5,100.0,10000,6,5,0.3262,inf,0.6738
10,100.0,10000,6,5,0.4213,inf,0.5787
2,100.0,10000,7,5,0.9615,0.22860560472971134,0.03849999999999998
5,100.0,10000,7,5,0.3838,inf,0.6162000000000001
10,100.0,10000,7,5,0.4222,inf,0.5778
2,100.0,10000,8,5,0.9795,0.09629661446665759,0.020499999999999963
5,100.0,10000,8,5,0.6648,inf,0.33520000000000005
10,100.0,10000,8,5,0.3435,inf,0.6565
2,100.0,10000,9,5,0.985,0.09160886422835404,0.015000000000000013
5,100.0,10000,9,5,0.3888,inf,0.6112
10,100.0,10000,9,5,0.3303,inf,0.6697
2,0.01,10000,0,6,0.5,1.2604104959561702,0.5
5,0.01,10000,0,6,0.3684,inf,0.6315999999999999
10,0.01,10000,0,6,0.1647,inf,0.8352999999999999
2,0.01,10000,1,6,0.9725,0.25714993516956325,0.02749999999999997
5,0.01,10000,1,6,0.2,inf,0.8
10,0.01,10000,1,6,0.1019,inf,0.8981
2,0.01,10000,2,6,0.9895,0.03870248221624226,0.010499999999999954
5,0.01,10000,2,6,0.2,inf,0.8
10,0.01,10000,2,6,0.184,inf,0.8160000000000001
2,0.01,10000,3,6,0.546,31.724252110718986,0.45399999999999996
5,0.01,10000,3,6,0.2004,inf,0.7996
10,0.01,10000,3,6,0.4033,inf,0.5967
2,0.01,10000,4,6,0.9365,0.5117202948698347,0.0635
5,0.01,10000,4,6,0.2004,inf,0.7996
10,0.01,10000,4,6,0.1998,inf,0.8002
2,0.01,10000,5,6,0.5285,31.686197256390997,0.47150000000000003
5,0.01,10000,5,6,0.3996,inf,0.6004
10,0.01,10000,5,6,0.1894,inf,0.8106
2,0.01,10000,6,6,0.9745,0.14914761294370305,0.025499999999999967
5,0.01,10000,6,6,0.3986,inf,0.6013999999999999
10,0.01,10000,6,6,0.1045,inf,0.8955
2,0.01,10000,7,6,0.6355,30.501894787528745,0.36450000000000005
5,0.01,10000,7,6,0.2,inf,0.8
10,0.01,10000,7,6,0.4564,inf,0.5436000000000001
2,0.01,10000,8,6,0.5,1.0227957482605998,0.5
5,0.01,10000,8,6,0.389,inf,0.611
10,0.01,10000,8,6,0.1874,inf,0.8126
2,0.01,10000,9,6,0.5,1.9504552159340178,0.5
5,0.01,10000,9,6,0.234,62.64777601724982,0.766
10,0.01,10000,9,6,0.1183,inf,0.8817
2,1.0,10000,0,6,0.94,1.0584624617004996,0.06000000000000005
5,1.0,10000,0,6,0.4914,inf,0.5085999999999999
10,1.0,10000,0,6,0.3735,inf,0.6265000000000001
2,1.0,10000,1,6,0.996,0.0170139236967158,0.0040000000000000036
5,1.0,10000,1,6,0.5726,inf,0.4274
10,1.0,10000,1,6,0.3853,inf,0.6147
2,1.0,10000,2,6,0.5625,15.225352078711461,0.4375
5,1.0,10000,2,6,0.4066,inf,0.5933999999999999
10,1.0,10000,2,6,0.4173,inf,0.5827
2,1.0,10000,3,6,0.7385,5.273505966277244,0.26149999999999995
